clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) X,clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) Y
627929687.4999999,-81.22858292353482
628906249.9999999,-75.56705259579383
629882812.4999999,-84.61434577398354
630859374.9999999,-70.20103863962609
631835937.4999999,-75.90145634428505
632812499.9999999,-73.42985955456913
633789062.4999999,-91.82334400362286
634765624.9999999,-79.61201944160257
635742187.4999999,-80.08608191469941
636718749.9999999,-78.92854982572882
637695312.4999999,-88.70878080287879
638671874.9999999,-88.91062854662789
639648437.4999999,-80.5261418885099
640624999.9999999,-80.03760856436857
641601562.4999999,-91.27251522651706
642578124.9999999,-85.1955410059755
643554687.4999999,-79.69416367031693
644531249.9999999,-80.85532893405357
645507812.4999999,-96.14022159672597
646484374.9999999,-72.27649373330216
647460937.4999999,-76.78306876349198
648437499.9999999,-85.71606370836496
649414062.4999999,-89.98335982389527
650390624.9999999,-86.71121940926683
651367187.4999999,-85.52473480580636
652343749.9999999,-67.73353600326257
653320312.4999999,-78.9836118386054
654296874.9999999,-73.64233630676992
655273437.4999999,-81.6037847096479
656249999.9999999,-74.17433289807407
657226562.4999999,-96.15775184274327
658203124.9999999,-73.63716725629611
659179687.4999999,-83.57448459378375
660156249.9999999,-81.65254708764409
661132812.4999999,-88.45310342043436
662109374.9999999,-82.38004462078386
663085937.4999999,-80.32482078800301
664062499.9999999,-81.49139641495319
665039062.4999999,-79.75036498444207
666015624.9999999,-79.83745801311245
666992187.4999999,-82.65056985805037
667968749.9999999,-94.904055351927
668945312.4999999,-78.70842227918953
669921874.9999999,-66.55564654297426
670898437.4999999,-81.70282962045242
671874999.9999999,-78.47296371731314
672851562.4999999,-91.20962555880767
673828124.9999999,-77.766474376517
674804687.4999999,-87.25849577807375
675781249.9999999,-89.3384960437522
676757812.4999999,-83.60598535823556
677734374.9999999,-78.65644200081721
678710937.4999999,-83.30132855550828
679687499.9999999,-87.42193878696931
680664062.4999999,-79.52418747105044
681640624.9999999,-82.15208957780555
682617187.4999999,-82.04233644861071
683593749.9999999,-83.06125433510357
684570312.4999999,-86.3967057739745
685546874.9999999,-72.08752348932022
686523437.4999999,-86.28543569149436
687499999.9999999,-84.69063693614549
688476562.4999999,-84.52700501384341
689453124.9999999,-100.4532640744811
690429687.4999999,-87.22328572525323
691406249.9999999,-81.43623814942795
692382812.4999999,-78.66018000400823
693359374.9999999,-83.05133916495522
694335937.4999999,-81.27743911905209
695312499.9999999,-74.27550827314413
696289062.4999999,-79.96638313653486
697265624.9999999,-81.30727755949424
698242187.4999999,-93.1311023894101
699218749.9999999,-83.85313412277993
700195312.4999999,-87.1043724537209
701171874.9999999,-76.8259282347454
702148437.4999999,-85.60024393067533
703124999.9999999,-75.17801111916675
704101562.4999999,-86.59173009076724
705078124.9999999,-79.0954182963266
706054687.4999999,-84.20126408134034
707031249.9999999,-73.87800874232944
708007812.4999999,-82.95174313648705
708984374.9999999,-75.42008934683287
709960937.4999999,-81.43369591478823
710937499.9999999,-79.61202692960175
711914062.4999999,-82.46317854795511
712890624.9999999,-63.67755765034558
713867187.4999999,-87.56786772014429
714843749.9999999,-81.52014864808923
715820312.4999999,-86.42721309512363
716796874.9999999,-78.08059669908272
717773437.4999999,-87.91265061163665
718749999.9999999,-79.55749860707019
719726562.4999999,-88.19669634513052
720703124.9999999,-91.61089874420962
721679687.4999999,-84.26221544720063
722656249.9999999,-76.87843400589838
723632812.4999999,-83.47528939001219
724609374.9999999,-81.56445024679714
725585937.4999999,-82.10532398787578
726562499.9999999,-93.40497216416283
