dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) X,dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) Y
329101562.4999999,-77.20777502283914
330078124.9999999,-59.52674336539764
331054687.4999999,-69.21493858236093
332031249.9999999,-86.8813951108522
333007812.4999999,-76.48108828209658
333984374.9999999,-73.89392035082886
334960937.4999999,-73.20933790657786
335937499.9999999,-74.40587948054345
336914062.4999999,-71.54990932213224
337890624.9999999,-74.17363832679396
338867187.4999999,-80.3381500049241
339843749.9999999,-73.05154397253303
340820312.4999999,-74.82848151552328
341796874.9999999,-65.57440856609243
342773437.4999999,-91.72236557537451
343749999.9999999,-65.96269139522855
344726562.4999999,-77.72547532046326
345703124.9999999,-65.06086974515127
346679687.4999999,-70.32182876953124
347656249.9999999,-61.17993818401703
348632812.4999999,-87.28386811146616
349609374.9999999,-83.84064315472639
350585937.4999999,-77.42437587592303
351562499.9999999,-75.60700698443915
352539062.4999999,-69.49321034816403
353515624.9999999,-64.84678426834752
354492187.4999999,-88.23109084739315
355468749.9999999,-74.96867039005065
356445312.4999999,-72.68098947111473
357421874.9999999,-75.53130497248478
358398437.4999999,-80.56562535657265
359374999.9999999,-74.9976786212812
360351562.4999999,-76.04766763884348
361328124.9999999,-102.5774176778125
362304687.4999999,-76.95453495887776
363281249.9999999,-69.9155781309647
364257812.4999999,-75.46611491766927
365234374.9999999,-76.39378745467465
366210937.4999999,-97.77470154574229
367187499.9999999,-66.16626885760434
368164062.4999999,-68.8298257514415
369140624.9999999,-63.16780113144588
370117187.4999999,-78.15512145413423
371093749.9999999,-68.9782940490593
372070312.4999999,-73.63969619409795
373046874.9999999,-58.446892730264
374023437.4999999,-74.88161964913395
374999999.9999999,-65.70048195308043
375976562.4999999,-86.173648058737
376953124.9999999,-80.91905427650174
377929687.4999999,-78.28604762743483
378906249.9999999,-75.13426808543956
379882812.4999999,-76.81865758605613
380859374.9999999,-74.38938278132757
381835937.4999999,-79.85125152923156
382812499.9999999,-47.67393073886566
383789062.4999999,-73.83758078669527
384765624.9999999,-70.49979668709507
385742187.4999999,-86.6499680451017
386718749.9999999,-74.20319244886234
387695312.4999999,-71.49847124763586
388671874.9999999,-75.296473735877
389648437.4999999,-76.79839864651228
390624999.9999999,-61.86388670928485
391601562.4999999,-76.35853218408876
392578124.9999999,-72.61743386183406
393554687.4999999,-73.88441132591191
394531249.9999999,-81.35417986565189
395507812.4999999,-86.32684765175011
396484374.9999999,-69.01561776058989
397460937.4999999,-73.54004238928128
398437499.9999999,-68.74295109476317
399414062.4999999,-81.79766178946626
400390624.9999999,-68.51024574469932
401367187.4999999,-77.78290982706268
402343749.9999999,-80.90831983340209
403320312.4999999,-76.51309399964073
404296874.9999999,-77.0263543085986
405273437.4999999,-73.8087957754621
406249999.9999999,-74.70436449496606
407226562.4999999,-79.44530647105699
408203124.9999999,-71.63146999253705
409179687.4999999,-74.52589870407817
410156249.9999999,-74.25965935905299
411132812.4999999,-92.86933948030237
412109374.9999999,-71.61144666549548
413085937.4999999,-85.69342265950323
414062499.9999999,-76.0312387113958
415039062.4999999,-78.06781544430693
416015624.9999999,-83.99997831774958
416992187.4999999,-73.0735965819763
417968749.9999999,-65.50717701770296
418945312.4999999,-75.86540956928161
419921874.9999999,-66.39482874002969
420898437.4999999,-73.06296263914707
421874999.9999999,-67.02493282534765
422851562.4999999,-87.22304556314643
423828124.9999999,-67.10969934316856
424804687.4999999,-73.63710540563402
425781249.9999999,-59.31054270772754
426757812.4999999,-82.52484833635432
427734374.9999999,-70.19069830087913
428710937.4999999,-78.10254389492323
429687499.9999999,-67.03774242617983
430664062.4999999,-81.28404502978195
431640624.9999999,-68.85819222363972
432617187.4999999,-72.89803273552933
433593749.9999999,-63.92189245008674
434570312.4999999,-75.268491188331
435546874.9999999,-66.35510748790939
436523437.4999999,-78.71525311064248
437499999.9999999,-86.30440464716715
438476562.4999999,-75.29281365800016
439453124.9999999,-73.64784438383067
440429687.4999999,-69.00607333522844
441406249.9999999,-63.68330865474189
442382812.4999999,-81.35245450363894
443359374.9999999,-66.24687913229609
444335937.4999999,-75.60657909410692
445312499.9999999,-74.33982716997292
446289062.4999999,-73.09113818176793
447265624.9999999,-79.20777262031353
448242187.4999999,-79.14025226275983
449218749.9999999,-77.79880671371092
