Values ,Y
0.4567,108
0.4567,121
0.4567,48
0.4567,3
0.4567,32
0.4568,94
0.4572,141
0.4572,88
0.4572,49
0.4572,55
0.4572,41
0.4572,42
0.4572,140
0.4572,9
0.4572,78
0.4572,76
0.4572,131
0.4572,115
0.4572,146
0.4572,1
0.4577,30
0.4577,47
0.4577,14
0.4577,5
0.4577,105
0.4577,28
0.4577,122
0.4577,71
0.4577,92
0.4577,101
0.4577,110
0.4577,27
0.4577,117
0.4578,96
0.4578,132
0.4579,29
0.4582,46
0.4582,98
0.4582,16
0.4582,90
0.4582,89
0.4582,99
0.4582,147
0.4582,17
0.4582,21
0.4586,60
0.4587,50
0.4587,113
0.4587,80
0.4587,119
0.4587,61
0.4587,20
0.4587,2
0.4587,22
0.4587,13
0.4587,77
0.4587,8
0.4587,4
0.4587,58
0.4592,104
0.4592,68
0.4592,102
0.4592,7
0.4592,112
0.4592,25
0.4592,130
0.4592,56
0.4592,51
0.4592,33
0.4592,142
0.4592,59
0.4592,93
0.4592,65
0.4593,97
0.4597,86
0.4597,52
0.4597,66
0.4597,74
0.4597,6
0.4597,128
0.4598,149
0.4598,84
0.4598,18
0.4602,31
0.4602,15
0.4602,109
0.4602,23
0.4602,38
0.4602,72
0.4602,69
0.4602,63
0.4602,62
0.4607,83
0.4607,34
0.4607,118
0.4607,11
0.4607,136
0.4607,24
0.4607,143
0.4607,37
0.4607,85
0.4607,139
0.4607,75
0.4607,100
0.4612,106
0.4612,103
0.4612,81
0.4612,53
0.4612,126
0.4612,91
0.4612,26
0.4612,79
0.4612,127
0.4617,70
0.4617,114
0.4617,107
0.4617,116
0.4617,134
0.4617,67
0.4617,148
0.4617,36
0.4617,145
0.4617,129
0.4618,44
0.4618,123
0.4622,41
0.4622,6
0.4622,70
0.4622,15
0.4622,52
0.4622,67
0.4627,10
0.4627,75
0.4627,7
0.4627,33
0.4627,23
0.4627,31
0.4628,25
0.4632,4
0.4632,42
0.4632,2
0.4632,73
0.4632,16
0.4633,32
0.4637,58
0.4637,26
0.4637,30
0.4637,56
0.4637,5
0.4637,55
0.4637,29
0.4637,59
0.4637,21
0.4637,14
0.4642,19
0.4642,50
0.4642,51
0.4642,28
0.4642,8
0.4642,22
0.4642,9
0.4642,11
0.4643,40
0.4647,48
0.4647,17
0.4647,60
0.4647,53
0.4647,69
0.4648,49
0.4652,47
0.4652,64
0.4652,54
0.4652,13
0.4652,24
0.4652,74
0.4652,38
0.4652,37
0.4657,46
0.4657,36
0.4657,12
0.4657,3
0.4662,18
0.4662,66
0.4662,72
0.4662,45
0.4663,61
0.4667,43
0.4667,71
0.4667,34
0.4667,27
0.4667,63
0.4672,20
0.4672,65
0.4677,44
0.4677,57
0.4677,39
0.4677,68
0.4677,35
0.4677,62
0.4678,1
0.4682,16
0.4682,3
0.4687,15
0.4687,18
0.4687,13
0.4687,7
0.4697,20
0.4697,1
0.4702,26
0.4702,9
0.4702,8
0.4707,21
0.4707,6
0.4707,10
0.4712,23
0.4712,12
0.4717,4
0.4717,5
0.4717,29
0.4717,19
0.4717,14
0.4722,22
0.4727,17
0.4727,27
0.4727,25
0.4727,24
0.4732,11
0.4732,28
0.4737,2
0.4737,30
0.4742,4
0.4742,8
0.4742,11
0.4747,5
0.4752,7
0.4752,2
0.4757,1
0.4762,10
0.4782,6
0.4792,3
0.4799,9
